filename,company_code,prod_code,prod_name,date,AUM,manager_name,bank
BNPLife_DMA026.pdf,BNPLife,DMA026,法國巴黎人壽榮耀 100投資帳戶 (委託復華投信運用操作 ),2022-04-29,713000000.00,簡沄宜,Bank NF
BNPLife_DMA027.pdf,BNPLife,DMA027,法國巴黎人壽美亞多元入息投資帳戶 (委託富達投信運用操作 ),2022-04-30,13950000.00,洪翠霞,華南商業銀行
BNPLife_DMA028.pdf,BNPLife,DMA028,法國巴黎人壽美亞多元入息投資帳戶 (委託富達投信運用操作 ),2022-04-30,13950000.00,洪翠霞,華南商業銀行
BNPLife_DMA029.pdf,BNPLife,DMA029,法國巴黎人壽新臺幣環球成長投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,1545787313,謝濟帆,臺灣企銀
BNPLife_DMA030.pdf,BNPLife,DMA030,法國巴黎人壽新臺幣環球成長投資帳戶(委託富蘭克林華美投信運用操作),2022-04-29,1545787313,謝濟帆,臺灣企銀
BNPLife_DMA031.pdf,BNPLife,DMA031,法國巴黎人壽新臺幣全球平衡投資帳戶 (委託復華投信運用操作 ),2022-04-29,1115000000.00,簡沄宜,Bank NF
BNPLife_DMA032.pdf,BNPLife,DMA032,法國巴黎人壽新臺幣全球平衡投資帳戶 (委託復華投信運用操作 ),2022-04-29,1115000000.00,簡沄宜,Bank NF
BNPLife_DMA035.pdf,BNPLife,DMA035,法國巴黎人壽新臺幣幸福穩健投資帳戶 (委託群益投信運用操作),2022-04-30,425000000.00,李運婷,玉山商業銀行
BNPLife_DMA036.pdf,BNPLife,DMA036,法國巴黎人壽新臺幣幸福穩健投資帳戶 (委託群益投信運用操作),2022-04-30,425000000.00,李運婷,玉山商業銀行
BNPLife_DMA037.pdf,BNPLife,DMA037,年 5 月法國巴黎人壽新臺幣幸福成長投資帳戶 (委託群益投信運用操作),2022-04-30,326000000.00,高收益,玉山商業銀行
BNPLife_DMA038.pdf,BNPLife,DMA038,年 5 月法國巴黎人壽新臺幣幸福成長投資帳戶 (委託群益投信運用操作),2022-04-30,326000000.00,高收益,玉山商業銀行
BNPLife_DMA039.pdf,BNPLife,DMA039,ProdName NF,2022-04-29,2890000.00,陳韋翰,中國信託商業銀行
BNPLife_DMA040.pdf,BNPLife,DMA040,ProdName NF,2022-04-29,2890000.00,陳韋翰,中國信託商業銀行
BNPLife_DMA041.pdf,BNPLife,DMA041,法國巴黎人壽新臺幣全球精選組合投資帳戶 (委託元大投信 運用操作 ),2022-04-30,249000000.00,廖中維,元大商業銀行
BNPLife_DMA042.pdf,BNPLife,DMA042,法國巴黎人壽新臺幣全球精選組合投資帳戶 (委託元大投信 運用操作 ),2022-04-30,249000000.00,廖中維,元大商業銀行
BNPLife_DMA043.pdf,BNPLife,DMA043,法國巴黎人壽全球資產投資帳戶 (委託復華投信運用操作 ),2022-04-29,14280000.00,許家瑝,Bank NF
BNPLife_DMA044.pdf,BNPLife,DMA044,法國巴黎人壽全球資產投資帳戶 (委託復華投信運用操作 ),2022-04-29,14280000.00,許家瑝,Bank NF
BNPLife_DMA045.pdf,BNPLife,DMA045,法國巴黎人壽全球動態投資帳戶 (委託華南永昌投信運用操作 ),2022-04-29,468281.77,余政民,華南銀行
BNPLife_DMA046.pdf,BNPLife,DMA046,法國巴黎人壽全球動態投資帳戶 (委託華南永昌投信運用操作 ),2022-04-29,468281.77,余政民,華南銀行
BNPLife_DMA047.pdf,BNPLife,DMA047,法國巴黎人壽趨勢創新投資帳戶 (委託富達投信運用操作 ),2022-04-30,9280000.00,MngName NF,第一商業銀行
BNPLife_DMA048.pdf,BNPLife,DMA048,法國巴黎人壽趨勢創新投資帳戶 (委託富達投信運用操作 ),2022-04-30,2450000.00,MngName NF,第一商業銀行
BNPLife_DMA049.pdf,BNPLife,DMA049,法國巴黎人壽全球智能 ETF投資帳戶 (委託元大投信運用操作 ),2022-04-30,11790600.00,王紹宇,彰化銀行
BNPLife_DMA050.pdf,BNPLife,DMA050,法國巴黎人壽全球智能 ETF投資帳戶 (委託元大投信運用操作 ),2022-04-30,11790600.00,王紹宇,彰化銀行
BNPLife_DMA051.pdf,BNPLife,DMA051,法國巴黎人壽新臺幣環球穩健投資帳戶(委託安聯投信運用操作),2022-04-29,141000000,蔡正元,凱基銀行
BNPLife_DMA052.pdf,BNPLife,DMA052,法國巴黎人壽新臺幣台灣新益投資帳戶 (委託復華投信運用操作 ),2022-04-29,924000000.00,簡沄宜,Bank NF
BNPLife_DMA053.pdf,BNPLife,DMA053,法國巴黎人壽新臺幣台灣新益投資帳戶 (委託復華投信運用操作 ),2022-04-29,138000000.00,簡沄宜,Bank NF
BNPLife_DMA054.pdf,BNPLife,DMA054,法國巴黎人壽價值收益投資帳戶 (委託新光投信運用操作 ),2022-04-29,13370000.00,孫光政,Bank NF
BNPLife_DMA055.pdf,BNPLife,DMA055,法國巴黎人壽價值收益投資帳戶 (委託新光投信運用操作 ),2022-04-29,13370000.00,孫光政,Bank NF
